protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
PCJ21630.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
BAL55376.1	Bacteria	Proteobacteria	Gammaproteobacteria			uncultured Gammaproteobacteria bacterium		86473.0
RTZ79053.1	Bacteria	Proteobacteria	Deltaproteobacteria			SAR324 cluster bacterium		2024889.0
OUR91489.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 44_32_T64	Cycloclasticus	1856282.0
WP_018289925.1	Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae	Verrucomicrobium sp. 3C	Verrucomicrobium	1134055.0
WP_091685169.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa palsarum	Methylocapsa	1612308.0
ORU90684.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. symbiont of Poecilosclerida sp. M	Cycloclasticus	1840537.0
WP_072294768.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosovibrio sp. Nv17	Nitrosovibrio	1855339.0
TKB67272.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
WP_206863966.1	Bacteria	Verrucomicrobia				Methylacidimicrobium sp. B4	Methylacidimicrobium	2796139.0
WP_026016198.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis parvus	Methylocystis	134.0
RIZ68924.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales		Methylococcales bacterium		2304002.0
PCI41358.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
WP_165047581.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. MJC1	Methylocystis	2654282.0
WP_119628471.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylocaldum marinum	Methylocaldum	1432792.0
WP_093283574.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas aquatica	Solimonas	489703.0
PCJ22139.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
WP_104955517.1	Bacteria	Proteobacteria	Alphaproteobacteria	Sphingomonadales	Sphingomonadaceae	Sphingobium sp. SCG-1	Sphingobium	2072936.0
OUR85103.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 44_32_T64	Cycloclasticus	1856282.0
WP_084143982.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Methylocapsa acidiphila	Methylocapsa	133552.0
WP_114969215.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Rhodoferax sp. OTU1	Rhodoferax	2109322.0
WP_085772039.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis bryophila	Methylocystis	655015.0
BAM38058.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Haliea sp. ETY-NAG	Haliea	1055106.0
WP_069407585.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium holsaticum	Mycolicibacterium	152142.0
WP_172630919.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas stercoris	Nitrosomonas	1444684.0
TDS24275.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira multiformis	Nitrosospira	1231.0
TAN48210.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
OUR83003.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 46_120_T64	Cycloclasticus	1856281.0
OUS10041.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium 53_120_T64		1856295.0
RLA17057.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
TAK60558.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter sp.	Methylobacter	2051955.0
PCI51261.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
ORU93662.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. symbiont of Bathymodiolus heckerae	Cycloclasticus	1284675.0
PCJ22067.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
THI84650.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. CG24A	Nitrospira	1985133.0
PCJ38282.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales		Cellvibrionales bacterium		2026722.0
TKB94048.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
WP_085216467.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum ishizawai	Methylomagnum	1760988.0
OUR83004.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 46_120_T64	Cycloclasticus	1856281.0
WP_093285530.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas aquatica	Solimonas	489703.0
WP_177189009.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas aquatica	Solimonas	489703.0
PCI70889.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Piscirickettsiaceae bacterium		2030828.0
WP_136496759.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis heyeri	Methylocystis	391905.0
WP_123029561.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium sp. CECT 8783	Mycolicibacterium	2358193.0
WP_215583798.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas paludis	Methylomonas	1173101.0
WP_085770840.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis bryophila	Methylocystis	655015.0
CAH10458.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AWJ65936.1	Bacteria					uncultured bacterium		77133.0
CDQ47713.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ORU93660.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. symbiont of Bathymodiolus heckerae	Cycloclasticus	1284675.0
CAN86750.1	Bacteria					uncultured bacterium		77133.0
WP_020483730.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylomonas	416.0
AHF54213.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
WP_009059717.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum fumariolicum	Methylacidiphilum	591154.0
QLF98447.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AGD80516.1	Bacteria					uncultured bacterium		77133.0
TMM16566.1	Bacteria	Actinobacteria	Actinomycetia			Actinobacteria bacterium		1883427.0
WP_069436907.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Hyphomicrobiaceae	Methyloceanibacter methanicus	Methyloceanibacter	1774968.0
CAC69489.1	Bacteria					uncultured methanotrophic bacterium M84-P38		140505.0
CAY85645.1	Bacteria					uncultured bacterium		77133.0
WP_093283576.1	Bacteria	Proteobacteria	Gammaproteobacteria	Nevskiales	Sinobacteraceae	Solimonas aquatica	Solimonas	489703.0
WP_183711713.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium sp. ERR14	Bradyrhizobium	2663837.0
AWJ64563.1	Bacteria					uncultured bacterium		77133.0
TLX67346.1	Archaea	Thaumarchaeota				Thaumarchaeota archaeon		2026795.0
WP_090631832.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas marina	Nitrosomonas	917.0
WP_202682698.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae		Skermanella	204447.0
AWJ65868.1	Bacteria					uncultured bacterium		77133.0
BCG62472.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methyloprofundus sp.	Methyloprofundus	2020875.0
APZ84142.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas communis	Nitrosomonas	44574.0
AWJ64527.1	Bacteria					uncultured bacterium		77133.0
WP_210825639.1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Hydrogenophaga aromaticivorans	Hydrogenophaga	2610898.0
AQU43450.1	Bacteria					uncultured bacterium		77133.0
WP_079046259.1	Bacteria	Actinobacteria	Actinomycetia	Streptomycetales	Streptomycetaceae	Streptomyces thermoautotrophicus	Streptomyces	1469144.0
AWJ64697.1	Bacteria					uncultured bacterium		77133.0
ASB30516.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales		uncultured Nitrosomonadales bacterium		239992.0
WP_026016564.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis parvus	Methylocystis	134.0
AWG96985.1	Bacteria					uncultured bacterium		77133.0
AXF53927.1	Bacteria					uncultured bacterium		77133.0
BBK20927.1	Bacteria					uncultured bacterium		77133.0
CBH32127.1	Bacteria					uncultured bacterium		77133.0
TKB89805.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
WP_074798855.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosospira briensis	Nitrosospira	35799.0
TAN70529.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter sp.	Methylobacter	2051955.0
WP_113038885.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. Nm143	Nitrosomonas	200123.0
AIZ07854.1	Bacteria					uncultured bacterium		77133.0
QVN25560.1	Bacteria					uncultured bacterium		77133.0
WP_064025211.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomonas koyamae	Methylomonas	702114.0
AWJ65816.1	Bacteria					uncultured bacterium		77133.0
BAJ10261.1	Bacteria					uncultured bacterium		77133.0
AKI88611.1	Bacteria					uncultured bacterium		77133.0
WP_126153181.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Paracoccus haematequi	Paracoccus	2491866.0
CAL69048.1	Bacteria					uncultured bacterium		77133.0
BAJ17646.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum miyakonense	Methylovulum	1078846.0
CBH32432.1	Bacteria					uncultured bacterium		77133.0
AHA43469.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured beta proteobacterium		86027.0
APC64040.1	Bacteria					uncultured bacterium		77133.0
WP_166391119.1	Archaea	Thaumarchaeota				Candidatus Nitrosotalea sp. TS	Candidatus Nitrosotalea	2341020.0
WP_068635402.1	Bacteria	Proteobacteria	Betaproteobacteria	Rhodocyclales	Zoogloeaceae	Thauera butanivorans	Thauera	86174.0
AXG65168.1	Bacteria	Proteobacteria				uncultured methane-oxidizing bacterium		559967.0
AWJ65857.1	Bacteria					uncultured bacterium		77133.0
WP_008886003.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Roseobacteraceae	Salipiger sp. HF18	Salipiger	2721557.0
BAE45191.1	Bacteria					uncultured bacterium		77133.0
WP_013646793.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp. AL212	Nitrosomonas	153948.0
WP_014211355.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae	Mycolicibacterium rhodesiae	Mycolicibacterium	36814.0
TDX63259.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus sp. sav-2	Methylosinus	2485168.0
ABC96845.1	Bacteria					uncultured bacterium		77133.0
TKB56877.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp.	Nitrospira	70125.0
CDQ47680.1	Bacteria					uncultured methanotrophic bacterium		288814.0
BAE16341.1	Bacteria					uncultured bacterium		77133.0
WP_206527488.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. MJC1	Methylocystis	2654282.0
WP_165048249.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. MJC1	Methylocystis	2654282.0
SED22440.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales		Rhizobiales bacterium GAS191		1882830.0
AQU43464.1	Bacteria					uncultured bacterium		77133.0
ARO71697.1	Bacteria					uncultured bacterium		77133.0
WP_012463926.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum infernorum	Methylacidiphilum	511746.0
AGD80478.1	Bacteria					uncultured bacterium		77133.0
OYV22748.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium NSO1		1917483.0
ACC86019.1	Bacteria					uncultured bacterium		77133.0
CBI84146.1	Bacteria					uncultured bacterium		77133.0
WP_138713334.1	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Streptosporangiaceae	Nonomuraea sp. 160415	Nonomuraea	2495887.0
WP_174626594.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Candidatus Methylobacter favarea	Methylobacter	2707345.0
AQU43374.1	Bacteria					uncultured bacterium		77133.0
ADY75686.1	Bacteria					uncultured methanotrophic bacterium		288814.0
SMF97432.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomagnum ishizawai	Methylomagnum	1760988.0
AVI23999.1	Bacteria					uncultured bacterium		77133.0
QGN18775.1	Bacteria					uncultured bacterium		77133.0
CDQ47668.1	Bacteria					uncultured methanotrophic bacterium		288814.0
CDQ47684.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AQU43362.1	Bacteria					uncultured bacterium		77133.0
TSA40876.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium		1933926.0
AXN72182.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AJA40476.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales		uncultured Nitrosomonadales bacterium		239992.0
AID55959.1	Bacteria	candidate division NC10				NC10 bacterium enrichment culture clone MSGLR 1-7		1511014.0
AAP20560.1	Bacteria					uncultured bacterium		77133.0
ADP55717.1	Bacteria					uncultured bacterium		77133.0
QBR71548.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Beijerinckiaceae	Beijerinckiaceae bacterium		1978229.0
WP_167182109.1	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales		Aestuariicella hydrocarbonica	Aestuariicella	1470433.0
WP_014805365.1	Bacteria	Actinobacteria	Actinomycetia	Corynebacteriales	Mycobacteriaceae		Mycolicibacterium	1866885.0
RWI29980.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Phyllobacteriaceae	Mesorhizobium sp.	Mesorhizobium	1871066.0
ABC59829.1	Bacteria					uncultured bacterium		77133.0
AGW21857.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured beta proteobacterium		86027.0
PCJ58203.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae	Rhodospirillaceae bacterium		1898112.0
BAE93361.1	Bacteria					uncultured bacterium		77133.0
AWB59990.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
AGO87420.1	Bacteria					uncultured bacterium		77133.0
CCE20945.1	Bacteria					uncultured bacterium		77133.0
BBD51700.1	Bacteria					uncultured bacterium		77133.0
AJF17127.1	Bacteria					uncultured bacterium		77133.0
ACJ64810.1	Bacteria					uncultured bacterium		77133.0
ABI97123.1	Bacteria					uncultured bacterium		77133.0
ABZ85741.1	Bacteria					uncultured bacterium		77133.0
ADN95823.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_044435964.1	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Azospirillaceae	Skermanella aerolata	Skermanella	393310.0
WP_157337042.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium cajani	Bradyrhizobium	1928661.0
CBX88067.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ASU10522.1	Bacteria					uncultured bacterium		77133.0
QMU55182.1	Archaea	Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilus sp.	Nitrosopumilus	2024843.0
WP_088620577.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylovulum psychrotolerans	Methylovulum	1704499.0
OUR91487.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 44_32_T64	Cycloclasticus	1856282.0
AGK22956.1	Bacteria	candidate division NC10				uncultured candidate division NC10 bacterium		991135.0
WP_202051516.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium sp. RS1	Methylomicrobium	2802053.0
AHB59968.1	Bacteria	candidate division NC10				uncultured candidate division NC10 bacterium		991135.0
AIH06869.1	Bacteria					uncultured bacterium		77133.0
AIQ80323.1	Bacteria					uncultured methanotrophic bacterium		288814.0
CBI83919.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AEH05125.1	Bacteria					uncultured bacterium		77133.0
AFJ39277.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_017841993.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotuvimicrobium buryatense	Methylotuvimicrobium	95641.0
WP_157337040.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Bradyrhizobiaceae	Bradyrhizobium cajani	Bradyrhizobium	1928661.0
AAT37104.1	Bacteria					uncultured bacterium		77133.0
WP_202053530.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium sp. RS1	Methylomicrobium	2802053.0
CDQ47688.1	Bacteria					uncultured methanotrophic bacterium		288814.0
OYV20798.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcaceae bacterium NSP1-2		1917481.0
QLF98490.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
RNJ76253.1	Archaea	Thaumarchaeota				Thaumarchaeota archaeon S15		2478559.0
ABI97130.1	Bacteria					uncultured bacterium		77133.0
TAL02096.1	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Porticoccaceae	Porticoccaceae bacterium		2026782.0
AHW45446.1	Bacteria					uncultured bacterium		77133.0
ABC96844.1	Bacteria					uncultured bacterium		77133.0
BAI44204.1	Bacteria					uncultured bacterium		77133.0
ABX56598.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum infernorum	Methylacidiphilum	481448.0
WP_134356235.1	Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Chromatiaceae	Nitrosococcus wardiae	Nitrosococcus	1814290.0
RIZ68926.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales		Methylococcales bacterium		2304002.0
TFH07065.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales		Nitrosomonadales bacterium		2026761.0
ABW75399.1	Bacteria	Proteobacteria	Gammaproteobacteria			uncultured Gammaproteobacteria bacterium		86473.0
AGD80474.1	Bacteria					uncultured bacterium		77133.0
QLF98468.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AGO94931.1	Bacteria					uncultured bacterium		77133.0
THJ14186.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	Nitrospira sp. CG24C	Nitrospira	1985131.0
OUR81281.1	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Piscirickettsiaceae	Cycloclasticus sp. 46_120_T64	Cycloclasticus	1856281.0
AQU43409.1	Bacteria					uncultured bacterium		77133.0
WP_202053531.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylomicrobium sp. RS1	Methylomicrobium	2802053.0
WP_129884071.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylotetracoccus oryzae	Methylotetracoccus	1919059.0
AEG20337.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ARN79806.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis bryophila	Methylocystis	655015.0
KXJ41240.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylothermaceae	Methylothermaceae bacteria B42		1798802.0
PCJ20785.1	Bacteria	Proteobacteria	Gammaproteobacteria			Gammaproteobacteria bacterium		1913989.0
APC64499.1	Bacteria					uncultured bacterium		77133.0
WP_145860484.1	Bacteria	Actinobacteria	Actinomycetia	Streptosporangiales	Treboniaceae	Trebonia kvetii	Trebonia	2480626.0
WP_198324339.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus sp. BF19-07	Methylococcus	2743472.0
AIQ80333.1	Bacteria					uncultured methanotrophic bacterium		288814.0
AGW02705.1	Bacteria					uncultured bacterium		77133.0
SMR98691.1	Bacteria					uncultured bacterium		77133.0
WP_196399860.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. H4A	Methylocystis	2785788.0
