protein accession	superkingdom	phylum	class	order	family	species	genus	taxid
CDR86219.1	Bacteria					uncultured bacterium		77133.0
WP_009060833.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum fumariolicum	Methylacidiphilum	591154.0
AFJ39275.1	Bacteria					uncultured methanotrophic bacterium		288814.0
QLF98457.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
P27354.3	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylosinus trichosporium	Methylosinus	426.0
CAL25209.1	Bacteria					uncultured bacterium		77133.0
CBI62669.1	Bacteria					uncultured bacterium		77133.0
AHH01437.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ASW41084.1	Bacteria					uncultured bacterium		77133.0
PSR31353.1	Bacteria	Firmicutes	Clostridia	Eubacteriales	Clostridiales Family XVII. Incertae Sedis	Sulfobacillus benefaciens	Sulfobacillus	453960.0
AIR92298.1	Bacteria					uncultured bacterium		77133.0
AAM11583.1	Bacteria					uncultured bacterium		77133.0
WP_134439083.1	Bacteria	Verrucomicrobia	Methylacidiphilae	Methylacidiphilales	Methylacidiphilaceae	Methylacidiphilum sp. Phi	Methylacidiphilum	1847729.0
AAQ56632.1	Bacteria					uncultured bacterium		77133.0
ABL11437.1	Archaea	Crenarchaeota				uncultured crenarchaeote		29281.0
PCI41930.1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae	Moraxellaceae bacterium		1889775.0
CCE20947.1	Bacteria					uncultured bacterium		77133.0
CAD24614.1	Bacteria					uncultured bacterium		77133.0
WP_132298817.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Kribbellaceae	Kribbella sp. VKM Ac-2568	Kribbella	2512219.0
VDK12081.1	Archaea	Thaumarchaeota		Nitrosopumilales	Nitrosopumilaceae	Nitrosopumilaceae archaeon		2202732.0
APZ84166.1	Bacteria	Proteobacteria	Betaproteobacteria	Nitrosomonadales	Nitrosomonadaceae	Nitrosomonas sp.	Nitrosomonas	42353.0
AFV95100.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
QLF98478.1	Bacteria	Nitrospirae	Nitrospira	Nitrospirales	Nitrospiraceae	uncultured Nitrospira sp.	Nitrospira	157176.0
AMO12868.1	Bacteria					uncultured bacterium		77133.0
AQU43530.1	Bacteria					uncultured bacterium		77133.0
AFP43589.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured beta proteobacterium		86027.0
ABC96846.1	Bacteria					uncultured bacterium		77133.0
ALF41055.1	Bacteria	Proteobacteria				uncultured proteobacterium		153809.0
ADY75598.1	Bacteria					uncultured methanotrophic bacterium		288814.0
WP_158292921.1	Bacteria	Actinobacteria	Actinomycetia	Propionibacteriales	Kribbellaceae		Kribbella	2644121.0
ABU45523.1	Bacteria					uncultured bacterium		77133.0
WP_165055209.1	Bacteria	Proteobacteria	Alphaproteobacteria	Hyphomicrobiales	Methylocystaceae	Methylocystis sp. MJC1	Methylocystis	2654282.0
WP_104428143.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylobacter tundripaludum	Methylobacter	173365.0
AGU13060.1	Bacteria					uncultured bacterium		77133.0
AEK78036.1	Bacteria					uncultured bacterium		77133.0
CAM91878.1	Bacteria	Proteobacteria	Betaproteobacteria			uncultured ammonia-oxidizing beta proteobacterium		254004.0
AMO12862.1	Bacteria					uncultured bacterium		77133.0
AWJ65713.1	Bacteria					uncultured bacterium		77133.0
WP_202213628.1	Bacteria	Verrucomicrobia				Methylacidimicrobium sp. AP8	Methylacidimicrobium	2730359.0
WP_205431325.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Methylococcus sp. EFPC2	Methylococcus	2812648.0
WP_153247437.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae	Candidatus Methylospira mobilis	Candidatus Methylospira	1808979.0
CDQ47634.1	Bacteria					uncultured methanotrophic bacterium		288814.0
ABI97129.1	Bacteria					uncultured bacterium		77133.0
PKO83759.1	Bacteria	Proteobacteria	Betaproteobacteria			Betaproteobacteria bacterium HGW-Betaproteobacteria-11		2013702.0
WP_064007081.1	Bacteria	Proteobacteria	Gammaproteobacteria	Methylococcales	Methylococcaceae		Methylomonas	416.0
AHL30311.1	Bacteria					uncultured ammonia-oxidizing bacterium		933470.0
ABF68852.1	Bacteria					uncultured bacterium		77133.0
